danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.722,0.686,7,-6.178,0,0.24,0.319,0.0,0.352,0.435,77.015,audio_features,5wPyd3IQAZft1vmxoIqGrU,spotify:track:5wPyd3IQAZft1vmxoIqGrU,https://api.spotify.com/v1/tracks/5wPyd3IQAZft1vmxoIqGrU,https://api.spotify.com/v1/audio-analysis/5wPyd3IQAZft1vmxoIqGrU,162133,4
0.541,0.812,4,-3.764,1,0.0336,0.203,0.0,0.42,0.607,141.056,audio_features,4ZC8hXXqu2hPcDLw9QTdtQ,spotify:track:4ZC8hXXqu2hPcDLw9QTdtQ,https://api.spotify.com/v1/tracks/4ZC8hXXqu2hPcDLw9QTdtQ,https://api.spotify.com/v1/audio-analysis/4ZC8hXXqu2hPcDLw9QTdtQ,201627,4
0.683,0.715,11,-6.024,0,0.0789,0.0409,1.72e-06,0.0935,0.77,99.989,audio_features,73FDJgnjt6ZcxoiavN6XrS,spotify:track:73FDJgnjt6ZcxoiavN6XrS,https://api.spotify.com/v1/tracks/73FDJgnjt6ZcxoiavN6XrS,https://api.spotify.com/v1/audio-analysis/73FDJgnjt6ZcxoiavN6XrS,195067,4
0.658,0.62,6,-6.634,0,0.0517,0.149,1.22e-05,0.157,0.522,89.955,audio_features,7GfhZZq8plOVTeqsDMbftc,spotify:track:7GfhZZq8plOVTeqsDMbftc,https://api.spotify.com/v1/tracks/7GfhZZq8plOVTeqsDMbftc,https://api.spotify.com/v1/audio-analysis/7GfhZZq8plOVTeqsDMbftc,258507,4
0.29,0.76,8,-8.37,1,0.0427,0.00124,0.924,0.0544,0.477,166.573,audio_features,2FUf1dlkvcgKOiKpMIOl2j,spotify:track:2FUf1dlkvcgKOiKpMIOl2j,https://api.spotify.com/v1/tracks/2FUf1dlkvcgKOiKpMIOl2j,https://api.spotify.com/v1/audio-analysis/2FUf1dlkvcgKOiKpMIOl2j,506880,3
0.795,0.767,9,-10.965,1,0.0278,0.00787,0.00347,0.102,0.744,103.751,audio_features,0WRWjlZ4R7b9Jz3CVzKz4B,spotify:track:0WRWjlZ4R7b9Jz3CVzKz4B,https://api.spotify.com/v1/tracks/0WRWjlZ4R7b9Jz3CVzKz4B,https://api.spotify.com/v1/audio-analysis/0WRWjlZ4R7b9Jz3CVzKz4B,434000,4
0.749,0.788,9,-7.167,0,0.283,0.292,0.0,0.369,0.539,87.954,audio_features,6QQgPoA4fIKO7XBsQ24MuD,spotify:track:6QQgPoA4fIKO7XBsQ24MuD,https://api.spotify.com/v1/tracks/6QQgPoA4fIKO7XBsQ24MuD,https://api.spotify.com/v1/audio-analysis/6QQgPoA4fIKO7XBsQ24MuD,236453,4
0.637,0.511,10,-11.991,0,0.0296,0.325,0.0,0.0607,0.573,137.849,audio_features,2GooP1VwhUaOiBl3jZw3Yr,spotify:track:2GooP1VwhUaOiBl3jZw3Yr,https://api.spotify.com/v1/tracks/2GooP1VwhUaOiBl3jZw3Yr,https://api.spotify.com/v1/audio-analysis/2GooP1VwhUaOiBl3jZw3Yr,251773,4
0.7,0.932,6,-4.286,0,0.0402,0.00234,0.00473,0.649,0.763,124.994,audio_features,0i9KqSGsoFd7SGCPgaYCzt,spotify:track:0i9KqSGsoFd7SGCPgaYCzt,https://api.spotify.com/v1/tracks/0i9KqSGsoFd7SGCPgaYCzt,https://api.spotify.com/v1/audio-analysis/0i9KqSGsoFd7SGCPgaYCzt,332160,4
0.426,0.685,7,-11.485,0,0.0438,7.55e-05,7.29e-05,0.583,0.113,127.982,audio_features,1gKQhHjUccUnp4MsAratMa,spotify:track:1gKQhHjUccUnp4MsAratMa,https://api.spotify.com/v1/tracks/1gKQhHjUccUnp4MsAratMa,https://api.spotify.com/v1/audio-analysis/1gKQhHjUccUnp4MsAratMa,239280,4
0.257,0.253,9,-16.771,1,0.0332,0.877,0.939,0.0829,0.111,164.172,audio_features,3vWUy8GEfBAKq3zDIZYyCG,spotify:track:3vWUy8GEfBAKq3zDIZYyCG,https://api.spotify.com/v1/tracks/3vWUy8GEfBAKq3zDIZYyCG,https://api.spotify.com/v1/audio-analysis/3vWUy8GEfBAKq3zDIZYyCG,282987,4
0.817,0.575,2,-7.207,0,0.0467,0.00437,0.0831,0.0995,0.503,123.974,audio_features,0V77PJkp1qQWPu7R5HukKt,spotify:track:0V77PJkp1qQWPu7R5HukKt,https://api.spotify.com/v1/tracks/0V77PJkp1qQWPu7R5HukKt,https://api.spotify.com/v1/audio-analysis/0V77PJkp1qQWPu7R5HukKt,240280,4
0.776,0.604,11,-7.32,1,0.0591,0.438,4.01e-05,0.0869,0.975,149.982,audio_features,4Cb7eYqroB6XEkF0a1Rxw5,spotify:track:4Cb7eYqroB6XEkF0a1Rxw5,https://api.spotify.com/v1/tracks/4Cb7eYqroB6XEkF0a1Rxw5,https://api.spotify.com/v1/audio-analysis/4Cb7eYqroB6XEkF0a1Rxw5,179627,4
0.704,0.444,11,-11.86,1,0.0371,0.21,0.115,0.649,0.349,106.25,audio_features,5P2I73QMjdzxgAGNEKpwQw,spotify:track:5P2I73QMjdzxgAGNEKpwQw,https://api.spotify.com/v1/tracks/5P2I73QMjdzxgAGNEKpwQw,https://api.spotify.com/v1/audio-analysis/5P2I73QMjdzxgAGNEKpwQw,326216,4
0.554,0.679,9,-5.349,0,0.031,0.0287,0.0,0.257,0.611,142.067,audio_features,4GtjWhD4jK3gqC9fXLElAQ,spotify:track:4GtjWhD4jK3gqC9fXLElAQ,https://api.spotify.com/v1/tracks/4GtjWhD4jK3gqC9fXLElAQ,https://api.spotify.com/v1/audio-analysis/4GtjWhD4jK3gqC9fXLElAQ,192640,4
0.86,0.681,2,-7.016,0,0.163,0.0372,2.51e-06,0.0749,0.846,153.993,audio_features,2i4WKnGYntsN4jEvDjkKBE,spotify:track:2i4WKnGYntsN4jEvDjkKBE,https://api.spotify.com/v1/tracks/2i4WKnGYntsN4jEvDjkKBE,https://api.spotify.com/v1/audio-analysis/2i4WKnGYntsN4jEvDjkKBE,246741,4
0.77,0.427,0,-13.458,1,0.046,0.0867,0.000498,0.103,0.757,101.968,audio_features,5Rhk0prd9yuuGA41HAUhGE,spotify:track:5Rhk0prd9yuuGA41HAUhGE,https://api.spotify.com/v1/tracks/5Rhk0prd9yuuGA41HAUhGE,https://api.spotify.com/v1/audio-analysis/5Rhk0prd9yuuGA41HAUhGE,267520,4
0.858,0.661,0,-6.544,1,0.319,0.0182,0.0,0.115,0.611,163.056,audio_features,5O9zs6G6RcB6yP1OKwnwiM,spotify:track:5O9zs6G6RcB6yP1OKwnwiM,https://api.spotify.com/v1/tracks/5O9zs6G6RcB6yP1OKwnwiM,https://api.spotify.com/v1/audio-analysis/5O9zs6G6RcB6yP1OKwnwiM,217960,4
0.866,0.686,2,-7.52,1,0.285,0.0101,0.0,0.0895,0.504,82.499,audio_features,3R2fdTDtARC4xwKSG0rNWE,spotify:track:3R2fdTDtARC4xwKSG0rNWE,https://api.spotify.com/v1/tracks/3R2fdTDtARC4xwKSG0rNWE,https://api.spotify.com/v1/audio-analysis/3R2fdTDtARC4xwKSG0rNWE,279320,4
