artistName,trackName,msPlayed
Playboi Carti,Home (KOD),96580
Isaiah Rashad,Smile,0
Isaiah Rashad,Smile,203371
Loose Ends,Slow Down,0
Justin Timberlake,Higher Higher,249504
Rodrigo y Gabriela,Orion - Live,181973
Loose Ends,Slow Down,303280
Dizharmonia,Karteria,938
Thes One,Let Me Break It Down,1002
Redlight,Threshold - Redlight's Fast Flamingo Eddie Mix,2389
Tullio De Piscopo,Stop Bajon - Club Mix,6527
Jessica Blue,The Dark Of Light - Club Mix,7926
Mariah Carey,Alone In Love,251773
Étienne de Crécy,You (feat. Madeline Follin) - Todd Edwards Remix (Radio Edit),173909
The Pharcyde,Runnin',82773
Kiki Lesendric & Piloti,Noc kao iz sna,234
Hidden Spheres,Bill Loves You,618
Quavo,CHAMPAGNE ROSÉ (feat. Madonna & Cardi B),2858
Loose Ends,Nights Of Pleasure,243690
Playboi Carti,Choppa Won't Miss (feat. Young Thug),194773
YG,666 (feat. YoungBoy Never Broke Again),59370
YG,666 (feat. YoungBoy Never Broke Again),156501
YG,666 (feat. YoungBoy Never Broke Again),24042
Isaiah Rashad,Smile,12010
Quavo,FLIP THE SWITCH (feat. Drake),53909
Larry Heard,Deja Vu - Musaria Mix,255295
Larry Heard,Deja Vu - Musaria Mix,24512
Maxxi Soundsystem,Medicine - Original Mix,37345
Weezer,Can't Knock The Hustle,231263
Akase,Rust - Midland Remix,412418
Seal,Kiss from a Rose,288426
Lil Wayne,Mrs. Officer,286906
RÜFÜS DU SOL,Innerbloom,149886
Bass Physics,Mahatma,277
Az Yet,Hard To Say I'm Sorry (feat. Peter Cetera),377578
Pretty Lights,Starlit Skies (Emancipator Remix),8575
Kajagoogoo,Too Shy,4885
Pink Floyd,Shine On You Crazy Diamond (Pts. 6-9),841386
Jimpster,These Times - Dub,16597
Soul II Soul,Back To Life,0
"Roberto Calzetta, Twin Soul",Carpo,0
Enoo Napa,High in Your Love,170
Thes One,Let Me Break It Down,725
Tullio De Piscopo,Stop Bajon - Club Mix,768
Jessica Blue,The Dark Of Light - Club Mix,4985
Dizharmonia,Karteria,5013
Redlight,Threshold - Redlight's Fast Flamingo Eddie Mix,6058
Mariah Carey,Alone In Love,251773
Étienne de Crécy,You (feat. Madeline Follin) - Todd Edwards Remix (Radio Edit),161857
Quavo,CHAMPAGNE ROSÉ (feat. Madonna & Cardi B),661
Hidden Spheres,Bill Loves You,1514
Kiki Lesendric & Piloti,Noc kao iz sna,2624
Tim Engelhardt,Sawtooth Orchestra,17728
The Pharcyde,Runnin',121610
Isaiah Rashad,Smile,3157
Justin Timberlake,Higher Higher,3669
YG,666 (feat. YoungBoy Never Broke Again),35157
Masego,Lavish Lullaby,35221
Natalie Imbruglia,Torn,37254
Avril Lavigne,I'm with You,1706
Metro Boomin,Don't Come Out The House (with 21 Savage),40666
Avril Lavigne,I'm with You,6250
Metro Boomin,Don't Come Out The House (with 21 Savage),50431
Metro Boomin,Don't Come Out The House (with 21 Savage),475874
Avril Lavigne,I'm with You,111273
Metro Boomin,Don't Come Out The House (with 21 Savage),168346
Avril Lavigne,I'm with You,83078
George Michael,Careless Whisper,298
Visioneers,Ike's Mood I,4373
Visioneers,Ike's Mood I,165647
George Michael,Careless Whisper,268263
Curtis Mayfield,Little Child Runnin' Wild,326906
Paul Wall,Sittin' Sidewayz (feat. Big Pokey),917
Maxxi Soundsystem,Fading Thought - Original Mix,50684
Paul Wall,Sittin' Sidewayz (feat. Big Pokey),981
Maxxi Soundsystem,Fading Thought - Original Mix,49472
Playboi Carti,R.I.P.,192026
Playboi Carti,Old Money,135546
Lil Uzi Vert,Money Longer,198944
Wiz Khalifa,Pull Up (feat. Lil Uzi Vert),140035
Neil Young,Southern Man,353706
YG,666 (feat. YoungBoy Never Broke Again),126314
System Of A Down,Toxicity,1386
System Of A Down,Chop Suey!,202325
System Of A Down,B.Y.O.B.,255466
System Of A Down,ATWA,0
System Of A Down,I-E-A-I-A-I-O,0
System Of A Down,Violent Pornography,0
System Of A Down,Attack,0
System Of A Down,Soldier Side,0
System Of A Down,Lost In Hollywood,0
System Of A Down,Radio/Video,85
System Of A Down,Spiders,320
System Of A Down,Toxicity,746
System Of A Down,Aerials,917
System Of A Down,Chop Suey!,1216
System Of A Down,Hypnotize,2986
System Of A Down,Sugar,6357
System Of A Down,Lonely Day,7658
System Of A Down,Aerials,235053
System Of A Down,Suite-Pee,0
System Of A Down,Prison Song,0
System Of A Down,Cigaro,131706
System Of A Down,Kill Rock 'n Roll,112635
System Of A Down,Innervision,153773
System Of A Down,Psycho,225893
System Of A Down,Question!,200600
Soprano,Fresh Prince (feat. Uncle Phil),0
The Flatliners,Monumental,0
SWV,Use Your Heart,0
Break Science,Way I Feel,0
Gustavo Cerati,Perdonar Es Divino,21
The Mars Volta,Faminepulse,191
The Flatliners,Filthy Habits,213
The Weeknd,Life Of The Party,704
System Of A Down,Holy Mountains,211705
Xavier Omär,Afraid,0
Pearl Jam,Black,0
Aaron May,Dreams,0
Above & Beyond,Show Me Love,0
Eagles,I Can't Tell You Why - 2013 Remaster,0
Mereba,Planet U,0
Gesaffelstein,Blast Off (feat. Pharrell Williams),0
Wyclef Jean,Baba,0
T-Pain,Goat Talk (feat. Lil Wayne),0
Reignwolf,Over & Over,0
Current Blue,Six Speed,0
KO,Just Take It,0
Cultura Profética,Hasta la Noche (Ilegal) - Recorded at Spotify Studios NYC,170
Zero 9:36,Leave The Light On,277
Isaiah Rashad,Smile,640
Hazey Eyes,Emotion,703
Hoodie Allen,Never Going Back,2773
FRANK LEONE,GO FOR IT,3648
Silk,Freak Me,4714
Current Blue,Six Speed,6485
Noah Kahan,Mess,8533
Madonna,Secret,21632
Stephanie Mills,(You're Puttin') A Rush On Me,298
The S.O.S Band,Sands Of Time,426
Broken Bells,Holding on for Life - Zeds Dead Remix,640
Neil Young,Southern Man,1024
YG,666 (feat. YoungBoy Never Broke Again),33984
OG Ron C,If She Pay She Can Stay (feat. Niddie Banga & Baby Gas) - Chopped Not Slopped,256
Raphael Saadiq,Get Involved - Live In Paris,682
Unwritten Law,Seein' Red,1130
Monchy & Alexandra,No Es una Novela,1493
Kings Of Tomorrow,Finally - Extended Mix,3818
Led Zeppelin,Achilles Last Stand - 2007 Remaster,4543
Mariah Carey,Can't Let Go,307306
David Gilmour,Comfortably Numb (with The Baltic Philharmonic Symphony Orchestra) - Live in Gdańsk,618
OJ Da Juiceman,Make tha Trap Say Aye (feat. Gucci Mane),1514
Quavo,FLIP THE SWITCH (feat. Drake),95402
Jurassic 5,What's Golden,303893
Loose Ends,Nights Of Pleasure,197589
Bone Thugs-N-Harmony,Mo'murda,1877
Ray jr.,Same Crew,5461
Bone Thugs-N-Harmony,Mo'murda,6677
Ray jr.,Same Crew,154858
Loose Ends,Nights Of Pleasure,15679
Mariah Carey,My All,0
The Beatles,I Want You (She's So Heavy) - Remastered 2009,0
The Zombies,Beechwood Park - Mono Version,0
Tinsley Ellis,A Quitter Never Wins,0
21 Savage,all my friends,0
The Weeknd,The Fall,0
Michael Jackson,Butterflies,0
SAINt JHN,Surf Club,149
Dillon Francis,I Can't Take It - Party Favor Remix,170
Colleen D'agostino,Stay - drop the Poptart Edit,320
Slipknot,Vermilion,768
